No;1 Product trial run;2 Intermittent Product Usage;3 Supplier Engagement;4 Transactional Provider Relations;5 Multi-Products Solutions Utilization;6 Renewed Collaboration with provider;7 Long-Term Provider Partnership;8 Continuous Enhancement Collaboration;9 Solution-Oriented Provider Partnership;10 Enhanced Business Performance;11 Dependable Services;12 Confidently Recommend Provider;13 Consultative Partnership;14 Critical Reliance on Provider;15 Actively Promote Provider;16 Strategic Partnership
46;1;1;3;3;7;6;6;6;6;6;6;7;6;5;6;5
47;5;5;5;5;7;7;7;7;7;7;7;7;7;7;7;7
48;1;1;1;1;6;6;5;6;5;6;6;6;5;6;5;5
49;1;1;2;1;7;6;7;7;7;6;7;7;7;7;7;7
50;1;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7
51;1;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7
52;2;1;2;2;7;7;7;7;7;7;7;6;7;7;6;7
53;5;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6
54;6;6;6;6;6;6;5;6;5;5;6;5;5;4;5;6
55;1;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7
56;6;3;3;3;5;6;7;7;7;6;6;7;7;5;6;6
57;1;1;1;1;7;7;7;7;7;7;7;7;7;7;4;4
58;7;1;7;1;7;7;7;7;7;7;7;7;7;7;7;7
59;2;1;1;2;7;7;7;7;7;6;7;7;5;5;5;7
60;1;1;5;5;7;7;7;4;6;5;6;6;4;5;5;6
61;2;1;2;2;7;7;7;7;7;7;6;7;7;5;7;7
62;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
63;1;1;7;7;7;7;7;7;7;7;7;7;6;7;6;7
64;2;2;2;2;6;6;6;6;6;6;6;6;2;6;6;6
65;1;1;1;1;7;7;7;7;7;7;7;7;7;6;7;7
66;2;1;4;3;6;4;7;4;7;7;5;7;4;7;3;7
67;5;4;6;4;6;6;7;6;6;6;6;6;6;6;4;6
68;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7
69;6;1;7;2;7;7;7;7;7;7;7;7;7;7;6;7
70;1;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7
71;1;1;4;4;7;6;7;6;6;6;7;5;6;5;5;5
72;1;1;4;4;1;7;7;4;6;7;7;7;7;7;6;6
73;2;2;2;4;6;6;6;6;5;6;7;6;5;7;6;6
74;1;7;7;7;7;7;7;7;7;7;7;5;7;6;6;7
75;5;1;1;1;7;7;7;7;7;5;5;5;7;6;6;5
76;6;3;5;4;1;1;6;6;6;6;6;6;6;6;6;6
77;1;1;5;5;1;5;7;3;7;7;7;7;4;7;7;4
78;2;6;6;6;2;6;6;6;7;7;7;6;6;6;2;6
79;1;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7
80;6;5;5;5;7;7;7;7;7;7;7;7;7;7;7;7
81;6;2;4;6;6;6;7;6;6;7;7;7;6;7;6;6
82;1;1;7;1;1;7;7;7;7;7;7;7;7;1;2;7
83;1;1;6;1;7;7;7;7;7;7;7;7;7;7;6;5
84;2;2;6;2;7;7;7;7;7;7;7;6;7;2;6;7
85;1;1;7;1;5;6;7;4;6;6;6;6;5;6;1;6
86;2;2;1;2;7;7;6;6;6;6;6;6;6;6;6;6
87;1;1;1;1;7;7;7;7;7;7;7;7;6;7;7;7
88;1;1;1;1;7;7;7;7;7;7;7;7;6;7;7;7
89;3;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7
90;5;6;5;4;6;7;7;7;6;5;5;4;4;4;5;5
91;2;1;1;2;6;6;6;6;5;6;6;6;5;5;6;6
92;1;1;1;2;7;7;7;5;6;7;7;7;6;6;7;6
93;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7;7
94;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7;7
95;7;6;6;6;7;6;7;7;6;6;7;6;6;7;7;7
96;2;2;2;2;7;7;7;7;6;7;7;7;7;7;7;7
97;1;1;3;2;7;6;6;6;6;6;7;7;6;6;6;6
98;2;2;2;1;7;7;7;6;6;6;7;5;6;6;6;7
99;1;1;1;7;7;7;7;7;7;7;6;7;7;7;6;7
100;1;1;1;1;7;7;7;6;7;7;7;7;5;5;6;7
